Search summary:
Database: ISC Bulletin
Search type: Rectangular search
Latitude range: 25 to 31
Longitude range: 78 to 95
Start date: 1904-09-01 00:00:00
End date: 2013-10-01 00:00:00
Events found: 98


DATA_TYPE FOCAL_MECHANISM_SOLUTIONS
ISC Bulletin
--EVENT--|------------------------------ORIGIN------------------------------|FM AUTHOR|----MOMENT---|-----------MOMENT TENSOR COMPONENTS---------|---------------NODAL PLANES--------------|-----------------------PRINCIPAL AXES-------------------------|
 EVENT_ID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
   665385,NEIS     ,1979-05-20,22:59:14.20, 30.0290,  80.3100, 33.0,        ,HRVD     ,17,5.380, 5.8,17, 1.020,-1.390, 0.360, 5.060, 0.360,-1.340,105.00,83.00,  91.00,274.00, 7.00,  79.00,17, 5.160,52.00, 16.00,-5.590,38.00,194.00, 0.420, 1.00,285.00
   663769,NEIS     ,1979-06-19,16:29:11.60, 26.7410,  87.5060, 24.0,        ,HRVD     ,16,3.840, 5.0,16,-3.660, 0.240, 3.410, 0.470,-0.280,-1.410,179.00,34.00, -82.00,350.00,57.00, -95.00,16, 3.720,11.00, 84.00,-3.970,78.00,243.00, 0.250, 4.00,353.00
   651572,NEIS     ,1980-02-22,03:02:47.20, 30.5060,  88.5830, 33.0,        ,HRVD     ,18,3.990, 6.3,18,-3.480,-0.820, 4.310,-0.120, 0.330, 0.820,  7.00,39.00, -84.00,180.00,51.00, -95.00,18, 4.410, 6.00,273.00,-3.580,83.00, 62.00,-0.830, 4.00,183.00
   644075,NEIS     ,1980-06-22,14:38:53.70, 30.1000,  81.7680, 33.0,        ,HRVD     ,16,5.340, 5.1,16,-3.640,-1.520, 5.150,-1.360, 0.330, 2.470, 28.00,36.00, -51.00,162.00,63.00,-115.00,16, 5.800,15.00,270.00,-4.870,63.00, 31.00,-0.930,22.00,174.00
   642635,NEIS     ,1980-07-29,12:23:12.30, 29.3310,  81.2580, 34.0,        ,HRVD     ,17,2.230, 5.5,17, 1.640,-1.750, 0.110, 1.410, 0.270,-0.210, 98.00,65.00,  90.00,278.00,25.00,  89.00,17, 2.160,70.00,  9.00,-2.310,20.00,188.00, 0.150, 0.00,278.00
   642643,NEIS     ,1980-07-29,14:58:40.80, 29.5980,  81.0920, 18.0,        ,HRVD     ,18,8.260, 6.5,18, 5.350,-4.950,-0.390, 5.910, 1.760,-1.910,108.00,69.00,  89.00,290.00,21.00,  91.00,18, 8.160,66.00, 17.00,-8.370,24.00,199.00, 0.210, 1.00,108.00
   642643,NEIS     ,1980-07-29,14:58:40.80, 29.5980,  81.0920, 16.0,        ,NEIS     ,18,4.200, 6.3,18, 3.160,-3.270, 0.110, 2.640, 0.260,-0.750,102.00,65.00,  97.00,266.00,26.00,  75.00,18, 4.200,69.00, 25.00,-4.270,20.00,187.00, 0.070, 6.00,279.00
   635740,NEIS     ,1980-11-19,19:00:46.90, 27.3940,  88.7520, 17.0,        ,HRVD     ,18,2.980, 6.2,18,-0.240,-1.830, 2.070, 1.510,-1.260,-1.120,209.00,51.00,  -2.00,301.00,89.00,-141.00,18, 3.160,25.00, 68.00,-2.800,28.00,172.00,-0.360,51.00,302.00
   606038,NEIS     ,1982-01-22,04:30:00.30, 30.8290,  89.8220, 33.0,        ,HRVD     ,17,2.460, 5.5,17,-1.450,-1.050, 2.510,-0.020,-0.880,-1.210,  7.00,64.00, -64.00,139.00,36.00,-132.00,17, 3.020,15.00, 78.00,-1.890,62.00,318.00,-1.130,23.00,174.00
   571147,HRVD     ,1983-08-30,10:39:36.00, 25.4100,  94.7500, 62.0,TRUE    ,HRVD     ,17,4.240, 5.7,17, 0.330,-1.750, 1.420,-1.630, 2.960,-2.330,161.00,65.00, 159.00,260.00,71.00,  26.00,17, 4.940,32.00,122.00,-3.540, 4.00, 29.00,-1.400,58.00,292.00
   505384,HRVD     ,1986-01-10,03:46:43.70, 28.6000,  87.0900, 81.4,TRUE    ,HRVD     ,16,6.290, 5.1,16,-2.360,-3.890, 6.250,-1.520, 0.700,-3.440, 38.00,78.00, -45.00,140.00,46.00,-163.00,16, 7.570,20.00, 96.00,-5.000,40.00,349.00,-2.570,43.00,206.00
   504044,HRVD     ,1986-02-19,17:34:30.30, 24.8900,  91.1800, 18.0,TRUE    ,HRVD     ,16,10.790, 5.3,16,-0.120,-5.230, 5.350, 6.350, 6.330, 2.890, 70.00,90.00,  40.00,340.00,50.00, 180.00,16,11.090,27.00,302.00,-10.500,27.00,197.00,-0.590,50.00, 70.00
   467270,HRVD     ,1987-05-18,01:53:59.30, 24.5800,  93.9400, 75.3,TRUE    ,HRVD     ,18,2.760, 6.2,18,-0.890,-1.220, 2.110,-0.510, 1.960, 0.640, 67.00,68.00, -14.00,163.00,77.00,-158.00,18, 3.050, 6.00,294.00,-2.470,25.00, 27.00,-0.580,64.00,192.00
   459395,HRVD     ,1987-08-09,21:15:10.00, 29.3000,  83.7700, 34.0,TRUE    ,HRVD     ,17,2.680, 5.6,17,-0.330, 0.060, 0.280,-0.720, 1.760, 1.930, 81.00,43.00, -10.00,178.00,83.00,-133.00,17, 2.380,26.00,300.00,-2.980,37.00, 51.00, 0.600,43.00,184.00
   458408,HRVD     ,1987-09-25,23:16:34.20, 29.4700,  90.3400, 15.0,TRUE    ,HRVD     ,16,3.420, 5.0,16,-3.100,-0.070, 3.170, 0.000, 1.460, 0.000, 21.00,45.00, -90.00,201.00,45.00, -90.00,16, 3.730, 0.00,111.00,-3.100,90.00,180.00,-0.630, 0.00, 21.00
   448794,HRVD     ,1988-01-25,01:12:27.40, 29.8000,  94.8700, 33.0,TRUE    ,HRVD     ,16,8.860, 5.2,16, 0.370, 7.040,-7.410, 5.550, 1.050, 0.270, 37.00,69.00, 159.00,135.00,71.00,  23.00,16,10.240,29.00,356.00,-7.490, 1.00,265.00,-2.760,61.00,173.00
   429573,NEIC     ,1988-08-20,23:09:09.56, 26.7550,  86.6160, 44.0,        ,NEIC     ,19,2.100, 6.8,19,-0.340,-1.520, 1.850, 1.070,-0.320,-0.650,217.00,54.00, -10.00,312.00,82.00,-144.00,19, 2.140,19.00, 79.00,-2.150,31.00,181.00, 0.010,53.00,323.00
   429573,HRVD     ,1988-08-20,23:09:15.90, 26.5200,  86.6400, 34.7,TRUE    ,HRVD     ,19,2.310, 6.8,19, 0.070,-0.930, 0.860, 1.420, 0.100,-1.590,137.00,89.00, 113.00,230.00,23.00,   2.00,19, 2.320,41.00, 69.00,-2.300,40.00,207.00,-0.020,23.00,317.00
   424138,HRVD     ,1988-10-29,09:11:00.80, 27.3900,  85.7300, 18.0,TRUE    ,HRVD     ,16,7.540, 5.2,16, 6.020,-5.080,-0.940, 4.080, 2.910,-0.590,106.00,62.00,  79.00,309.00,30.00, 109.00,16, 7.380,71.00,352.00,-7.710,16.00,205.00, 0.330,10.00,112.00
   411851,HRVD     ,1989-02-03,17:50:10.00, 29.7400,  90.1300, 15.0,TRUE    ,HRVD     ,17,1.540, 5.4,17,-0.840,-1.100, 1.940, 0.090,-0.170,-0.160,221.00,77.00,  -9.00,313.00,82.00,-166.00,17, 1.960, 3.00, 87.00,-1.130,16.00,178.00,-0.820,74.00,345.00
   406433,HRVD     ,1989-04-03,19:39:37.80, 25.1500,  94.8100, 85.3,TRUE    ,HRVD     ,17,2.730, 5.6,17,-0.340,-1.410, 1.750,-0.400, 2.160, 0.270, 71.00,81.00,  -8.00,163.00,82.00,-171.00,17, 2.850, 1.00,297.00,-2.610,12.00, 27.00,-0.240,78.00,202.00
   406840,HRVD     ,1989-04-09,02:31:42.70, 28.7400,  89.9400, 15.0,TRUE    ,HRVD     ,16,6.420, 5.1,16,-5.440,-0.830, 6.270, 1.560,-1.480, 1.390,187.00,53.00, -65.00,330.00,43.00,-119.00,16, 6.660, 5.00,260.00,-6.170,70.00,155.00,-0.490,19.00,352.00
   317038,NEIC     ,1991-10-19,21:23:14.30, 30.7800,  78.7740, 19.0,        ,NEIC     ,19,1.800, 6.8,19, 0.240, 0.630,-0.870, 1.310, 0.810,-0.520, 18.00,38.00, 172.00,115.00,85.00,  52.00,19, 1.790,38.00,351.00,-1.810,30.00,235.00, 0.030,37.00,118.00
   317038,HRVD     ,1991-10-19,21:23:21.60, 30.2200,  78.2400, 15.0,TRUE    ,HRVD     ,19,1.770, 6.8,19, 0.680,-0.540,-0.140, 1.490, 0.440,-0.570,112.00,78.00,  84.00,317.00,14.00, 115.00,19, 1.710,57.00, 14.00,-1.820,32.00,207.00, 0.110, 6.00,113.00
   284914,NEIC     ,1992-07-30,08:24:46.65, 29.5840,  90.1630, 10.0,        ,NEIC     ,18,1.700, 6.1,18,-1.490, 1.660,-0.180,-0.030, 0.040, 0.500,107.00,48.00, -64.00,251.00,48.00,-116.00,18, 1.660, 0.00,179.00,-1.660,71.00, 88.00, 0.000,19.00,269.00
